,Ensembl,Symbol,s06mo_C_F-s28mo_C_F_logFC,s06mo_C_F-s28mo_C_F_logCPM,s06mo_C_F-s28mo_C_F_LR,s06mo_C_F-s28mo_C_F_PValue,s06mo_C_F-s28mo_C_F_FDR,s06mo_C_F-s28mo_C_F_Status,Description
9211,ENSMUSG00000042045,Sln,-3.6339384124, 3.91930508,167.1930564184985,0.000000000000000000000000000000000000030357,0.00000000000000000000000000000000043578,DOWN,sarcolipin
9145,ENSMUSG00000041737,Tmem45b,-3.6566235023, 2.50164730,153.6183876984748,0.000000000000000000000000000000000028062536,0.00000000000000000000000000000020141885,DOWN,transmembrane protein 45b
12494,ENSMUSG00000076609,Igkc,-6.8314253830, 3.19955503,123.4149475641724,0.000000000000000000000000000113133294478515,0.00000000000000000000000054134281407970,DOWN,immunoglobulin kappa constant
3645,ENSMUSG00000024990,Rbp4,-3.3466642555, 2.03602340,114.6560784240280,0.000000000000000000000000009360129821829621,0.00000000000000000000003359116589809105,DOWN,retinol binding protein 4, plasma
11419,ENSMUSG00000060716,Plekhh1,-2.4717255903, 3.04190342,110.0055664187167,0.000000000000000000000000097715959524863967,0.00000000000000000000028054251979588444,DOWN,pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
1778,ENSMUSG00000020108,Ddit4,-3.0044866286, 5.70588570,105.7912411441822,0.000000000000000000000000819269224553274722,0.00000000000000000000196010161974370968,DOWN,DNA-damage-inducible transcript 4
1080,ENSMUSG00000012705,Retn,-3.9028960582, 3.19816311,101.9277578933855,0.000000000000000000000005758394170898871440,0.00000000000000000001180882118903618548,DOWN,resistin
3087,ENSMUSG00000023043,Krt18,-3.6371166627, 3.62895743, 95.3200825430791,0.000000000000000000000161961761373376063634,0.00000000000000000029062013556435168717,DOWN,keratin 18
6774,ENSMUSG00000032554,Trf,-3.0458584777, 5.44451697, 91.7325830548399,0.000000000000000000000992177011604436050763,0.00000000000000000158252233350907559632,DOWN,transferrin
2249,ENSMUSG00000021091,Serpina3n,-3.1032651229, 2.00883111, 83.9433707069571,0.000000000000000000050915214435970244530477,0.00000000000000007308879032283528955337,DOWN,serine (or cysteine) peptidase inhibitor, clade A, member 3N
5412,ENSMUSG00000029167,Ppargc1a,-2.0177263072, 6.32710938, 78.9474986094709,0.000000000000000000637826437247027546427146,0.00000000000000070430757743700624456925,DOWN,peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
7397,ENSMUSG00000034957,Cebpa,-2.2378170072, 3.88795899, 78.9908417904082,0.000000000000000000623985249861265145055905,0.00000000000000070430757743700624456925,DOWN,CCAAT/enhancer binding protein (C/EBP), alpha
12064,ENSMUSG00000070498,Tmem132b,-3.9253297541, 2.13669462, 78.9590686468031,0.000000000000000000634101897228113721624735,0.00000000000000070430757743700624456925,DOWN,transmembrane protein 132B
414,ENSMUSG00000002997,Prkar2b,-3.0082245718, 3.02614020, 78.1788419668939,0.000000000000000000941212794225550690445863,0.00000000000000096507926150769860224041,DOWN,protein kinase, cAMP dependent regulatory, type II beta
6909,ENSMUSG00000033022,Cdo1,-3.8406348351, 3.76594308, 77.2838186975537,0.000000000000000001480742147370957615778223,0.00000000000000141707023503400634084770,DOWN,cysteine dioxygenase 1, cytosolic
3847,ENSMUSG00000025479,Cyp2e1,-4.4775609146, 4.97268782, 74.1850344630809,0.000000000000000007112748340035066938186380,0.00000000000000574091335470190664605212,DOWN,cytochrome P450, family 2, subfamily e, polypeptide 1
6469,ENSMUSG00000031880,Rrad,-1.9730476355, 3.95797904, 74.3658123340968,0.000000000000000006490331408135875779044237,0.00000000000000574091335470190664605212,DOWN,Ras-related associated with diabetes
11585,ENSMUSG00000062609,Kcnj15,-4.1740451823, 1.27200012, 74.1613397336485,0.000000000000000007198637435362891921114039,0.00000000000000574091335470190664605212,DOWN,potassium inwardly-rectifying channel, subfamily J, member 15
4958,ENSMUSG00000028195,Ccn1,-1.6151638830, 5.33009810, 72.4875840269360,0.000000000000000016808613178258941772351438,0.00000000000001269934958810037327644577,DOWN,cellular communication network factor 1
6388,ENSMUSG00000031722,Hp,-3.0135520933, 2.14639504, 71.4681424802308,0.000000000000000028177100579299716942013845,0.00000000000002022411394079237179353035,DOWN,haptoglobin
11865,ENSMUSG00000067235,H2-Q10,-4.6680499399, 1.72793713, 70.8140474138658,0.000000000000000039253214919890050737965204,0.00000000000002561272273522825896933891,DOWN,histocompatibility 2, Q region locus 10
12403,ENSMUSG00000074771,Ankef1,-3.6925210971, 0.84350744, 70.8409809086133,0.000000000000000038720976933247504958509286,0.00000000000002561272273522825896933891,DOWN,ankyrin repeat and EF-hand domain containing 1
7711,ENSMUSG00000036395,Glb1l2,-2.2105574471, 2.13415165, 70.4364068716059,0.000000000000000047534527052560926905146554,0.00000000000002966774503650052806866711,DOWN,galactosidase, beta 1-like 2
5492,ENSMUSG00000029368,Alb,-7.7012325636, 3.26204230, 70.0624469873080,0.000000000000000057456437535442091968522981,0.00000000000003436613170088630284255759,DOWN,albumin
5918,ENSMUSG00000030546,Plin1,-2.7468215381, 4.04727853, 69.5650981197739,0.000000000000000073933648647366801620055191,0.00000000000004245270105331802110666990,DOWN,perilipin 1
