,Ensembl,Symbol,s28mo_AR_M-s06mo_AR_M_logFC,s28mo_AR_M-s06mo_AR_M_logCPM,s28mo_AR_M-s06mo_AR_M_LR,s28mo_AR_M-s06mo_AR_M_PValue,s28mo_AR_M-s06mo_AR_M_FDR,s28mo_AR_M-s06mo_AR_M_Status,Description
3066,ENSMUSG00000023043,Krt18, 4.2018709447, 3.16111349,184.7772536510497048,0.0000000000000000000000000000000000000000043896,0.00000000000000000000000000000000000006253,UP,keratin 18
10494,ENSMUSG00000051985,Igfn1, 2.3080391574, 5.11132826,175.8185404983009903,0.0000000000000000000000000000000000000003966987,0.00000000000000000000000000000000000282549,UP,immunoglobulin-like and fibronectin type III domain containing 1
397,ENSMUSG00000002910,Arrdc2, 2.8111586987, 6.20515158,150.3540183817211187,0.0000000000000000000000000000000001450709074040,0.00000000000000000000000000000068884502532,UP,arrestin domain containing 2
12105,ENSMUSG00000071637,Cebpd, 2.0307223546, 5.14982935,104.2736963865674937,0.0000000000000000000000017621289455931380864477,0.00000000000000000000627538170749356305068,UP,CCAAT/enhancer binding protein (C/EBP), delta
9360,ENSMUSG00000042834,Nrep,-2.1022189019, 5.72846143, 97.2427547603538756,0.0000000000000000000000613280047188032234588106,0.00000000000000000017472348544387038350485,DOWN,neuronal regeneration related protein
5869,ENSMUSG00000030494,Rhpn2, 2.3428044441, 2.76799704, 86.6104641939406008,0.0000000000000000000132146087653135862714745083,0.00000000000000003137368364364867043944377,UP,rhophilin, Rho GTPase binding protein 2
3077,ENSMUSG00000023067,Cdkn1a, 2.8944561931, 5.02043685, 84.8893082806705479,0.0000000000000000000315544818741566591183019495,0.00000000000000006421337061390879729138424,UP,cyclin-dependent kinase inhibitor 1A (P21)
3214,ENSMUSG00000024042,Sik1, 1.4669483620, 4.09302479, 84.5853968454145502,0.0000000000000000000367973041591955245310479296,0.00000000000000006552219971846752474499417,UP,salt inducible kinase 1
4358,ENSMUSG00000026819,Slc25a25, 2.1949288565, 5.36627693, 81.8809043082193853,0.0000000000000000001445390726895461599055307711,0.00000000000000022877323227362056399430988,UP,solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25
12445,ENSMUSG00000076612,Ighg2c, 4.0235003264, 1.51802574, 77.6391478886187940,0.0000000000000000012369404476255899145593410805,0.00000000000000176202166764265275413406065,UP,immunoglobulin heavy constant gamma 2C
