,Ensembl,Symbol,s22mo_AR_F-s06mo_AR_F_logFC,s22mo_AR_F-s06mo_AR_F_logCPM,s22mo_AR_F-s06mo_AR_F_LR,s22mo_AR_F-s06mo_AR_F_PValue,s22mo_AR_F-s06mo_AR_F_FDR,s22mo_AR_F-s06mo_AR_F_Status,Description
2153,ENSMUSG00000020900,Myh10, 1.4203339013, 5.1080895,140.8701833742325,0.000000000000000000000000000000017176,0.00000000000000000000000000024387,UP,myosin, heavy polypeptide 10, non-muscle
9888,ENSMUSG00000047205,Dusp18, 1.9339510797, 4.8604704,127.0682305449711,0.000000000000000000000000000017949521,0.00000000000000000000000012742365,UP,dual specificity phosphatase 18
1767,ENSMUSG00000020108,Ddit4, 2.2305557967, 5.4069431,115.3009182042280,0.000000000000000000000000006761750932,0.00000000000000000000003200111324,UP,DNA-damage-inducible transcript 4
1880,ENSMUSG00000020340,Cyfip2, 1.8655757582, 3.4104366,111.4306511199985,0.000000000000000000000000047617395451,0.00000000000000000000016901794515,UP,cytoplasmic FMR1 interacting protein 2
4793,ENSMUSG00000027894,Slc6a17, 2.5451039948, 2.0238331, 91.0058501723177,0.000000000000000000001432479669514980,0.00000000000000000406766926955474,UP,solute carrier family 6 (neurotransmitter transporter), member 17
2639,ENSMUSG00000022096,Hr, 1.3766997694, 6.4640698, 90.4836030921319,0.000000000000000000001865161979247809,0.00000000000000000441359496356007,UP,lysine demethylase and nuclear receptor corepressor
7471,ENSMUSG00000035513,Ntng2, 1.2367802082, 3.4369544, 85.3931613917773,0.000000000000000000024456496601836427,0.00000000000000004340416734410920,UP,netrin G2
13462,ENSMUSG00000099906,Lincmd1, 3.0705870909, 1.0371979, 85.5458731276107,0.000000000000000000022638826751581134,0.00000000000000004340416734410920,UP,long intergenic non-protein coding RNA of muscle differentiation 1
1401,ENSMUSG00000017765,Slc12a4, 0.9285409604, 4.8298910, 83.9800063436087,0.000000000000000000049980389180112656,0.00000000000000007884684061991550,UP,solute carrier family 12, member 4
7529,ENSMUSG00000035783,Acta2, 1.0017455864, 4.7071649, 80.2087415798884,0.000000000000000000336873570336926883,0.00000000000000047829309516436880,UP,actin alpha 2, smooth muscle, aorta
