,Ensembl,Symbol,s28mo_C_M-s06mo_C_M_logFC,s28mo_C_M-s06mo_C_M_logCPM,s28mo_C_M-s06mo_C_M_LR,s28mo_C_M-s06mo_C_M_PValue,s28mo_C_M-s06mo_C_M_FDR,s28mo_C_M-s06mo_C_M_Status,Description
4015,ENSMUSG00000026043,Col3a1,-2.9953783302, 5.90483554,179.60456756649626,0.000000000000000000000000000000000000000059123,0.00000000000000000000000000000000000083985,DOWN,collagen, type III, alpha 1
1762,ENSMUSG00000020108,Ddit4, 2.8687097356, 6.25312222,155.97743370963653,0.000000000000000000000000000000000008562463450,0.00000000000000000000000000000006081489665,UP,DNA-damage-inducible transcript 4
5583,ENSMUSG00000029661,Col1a2,-2.9067883643, 6.74998921,139.89691658606955,0.000000000000000000000000000000028038563566823,0.00000000000000000000000000009957194886668,DOWN,collagen, type I, alpha 2
10896,ENSMUSG00000056501,Cebpb, 1.6076673829, 6.04545656,139.93395477265815,0.000000000000000000000000000000027520500731839,0.00000000000000000000000000009957194886668,UP,CCAAT/enhancer binding protein (C/EBP), beta
140,ENSMUSG00000001119,Col6a1,-2.0634147002, 5.18106717,139.43130062222647,0.000000000000000000000000000000035446789033252,0.00000000000000000000000000010070432764347,DOWN,collagen, type VI, alpha 1
1355,ENSMUSG00000017344,Vtn,-1.5766509589, 3.73805710,137.42780943682317,0.000000000000000000000000000000097213921083307,0.00000000000000000000000000023015395816473,DOWN,vitronectin
198,ENSMUSG00000001506,Col1a1,-2.8601695413, 5.72907309,136.51374302920811,0.000000000000000000000000000000154043776569683,0.00000000000000000000000000031259883516748,DOWN,collagen, type I, alpha 1
6335,ENSMUSG00000031740,Mmp2,-1.6140306373, 5.19912430,133.98270049960661,0.000000000000000000000000000000551136144333222,0.00000000000000000000000000097861111628168,DOWN,matrix metallopeptidase 2
4451,ENSMUSG00000027107,Chrna1, 1.4781929682, 4.51302914,131.34022148560180,0.000000000000000000000000000002086068316524236,0.00000000000000000000000000329251115958075,UP,cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)
12029,ENSMUSG00000071637,Cebpd, 2.0243593171, 5.59926778,128.02462261697340,0.000000000000000000000000000011085908360319254,0.00000000000000000000000001574753282583350,UP,CCAAT/enhancer binding protein (C/EBP), delta
1696,ENSMUSG00000019970,Sgk1, 1.4455339636, 7.12399503,121.45539142551095,0.000000000000000000000000000303755072548574551,0.00000000000000000000000039225825505022736,UP,serum/glucocorticoid regulated kinase 1
12689,ENSMUSG00000084939,Gm830, 3.1055383579, 1.72910314,119.68949206678028,0.000000000000000000000000000739798431730547044,0.00000000000000000000000087573639356103505,UP,predicted gene 830
9120,ENSMUSG00000042045,Sln, 4.4538863695, 3.89434044,118.98061876454486,0.000000000000000000000000001057578039004531055,0.00000000000000000000000115560738800456628,UP,sarcolipin
1826,ENSMUSG00000020241,Col6a2,-1.8987374001, 5.03355260,118.71169173068573,0.000000000000000000000000001211135156269846712,0.00000000000000000000000122886963534379801,DOWN,collagen, type VI, alpha 2
13045,ENSMUSG00000090942,F830016B08Rik, 1.4671748619, 4.67102508,117.77002821044898,0.000000000000000000000000001947033917937584910,0.00000000000000000000000184384112028689298,UP,RIKEN cDNA F830016B08 gene
90,ENSMUSG00000000753,Serpinf1,-2.0682397090, 5.17086689,116.15214058106932,0.000000000000000000000000004401977663734551979,0.00000000000000000000000390813079458433215,DOWN,serine (or cysteine) peptidase inhibitor, clade F, member 1
4750,ENSMUSG00000027827,Kcnab1, 1.8545283258, 3.30315926,113.90063620922294,0.000000000000000000000000013700469263444480074,0.00000000000000000000001144795093454287360,UP,potassium voltage-gated channel, shaker-related subfamily, beta member 1
3205,ENSMUSG00000024042,Sik1, 1.7366898731, 4.48260912,110.45427279893481,0.000000000000000000000000077922266169906747989,0.00000000000000000000006149365505241807271,UP,salt inducible kinase 1
3058,ENSMUSG00000023043,Krt18, 4.4776896102, 4.16202754,106.61852531978630,0.000000000000000000000000539663611263921414328,0.00000000000000000000040346955778968440990,UP,keratin 18
