,Ensembl,Symbol,s06mo_AR_M-s22mo_AR_M_logFC,s06mo_AR_M-s22mo_AR_M_logCPM,s06mo_AR_M-s22mo_AR_M_LR,s06mo_AR_M-s22mo_AR_M_PValue,s06mo_AR_M-s22mo_AR_M_FDR,s06mo_AR_M-s22mo_AR_M_Status,Description
12534,ENSMUSG00000076609,Igkc,-5.468382061, 3.0583184,368.484567794336,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000040009,0.0000000000000000000000000000000000000000000000000000000000000000000000000000057568,DOWN,immunoglobulin kappa constant
11898,ENSMUSG00000067149,Jchain,-4.729291921, 1.3377931,158.214201972204,0.00000000000000000000000000000000000277867013444367197932082348663151916470453976883190,0.0000000000000000000000000000000199911422822549987199068384156233693800414740415953,DOWN,immunoglobulin joining chain
4377,ENSMUSG00000026819,Slc25a25,-2.152874636, 5.3596289,143.044217837446,0.00000000000000000000000000000000574861075184478012774027673109051720138510521011551963,0.0000000000000000000000000000275722533694315137072978388309082123379155963619290397,DOWN,solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25
9424,ENSMUSG00000042834,Nrep, 1.526889417, 5.8793094,139.074498770233,0.00000000000000000000000000000004242326671195532930168092590711206989087272197699671857,0.0000000000000000000000000001526070961795813144200988261934174535815401858896877586,UP,neuronal regeneration related protein
400,ENSMUSG00000002910,Arrdc2,-2.437814642, 5.9115744,132.211884898132,0.00000000000000000000000000000134472618674813769546268936345269460894787367607949349125,0.0000000000000000000000000038698530202237905697238738860178247513689124615687196114,DOWN,arrestin domain containing 2
5010,ENSMUSG00000028341,Nr4a3,-2.461962289, 2.7566322,128.661717440342,0.00000000000000000000000000000804203871393690178483958182618926792140159317728588163717,0.0000000000000000000000000192861491758063445022375226615507043106705935483751271086,DOWN,nuclear receptor subfamily 4, group A, member 3
12535,ENSMUSG00000076612,Ighg2c,-3.726015217, 1.2904349,123.237343585239,0.00000000000000000000000000012372700154885118336059264384201425604366522870762560779000,0.0000000000000000000000002543296893266313694269267004050675761214786388626934932738,DOWN,immunoglobulin heavy constant gamma 2C
2971,ENSMUSG00000022797,Tfrc, 2.094817537, 6.5735664,107.916622310566,0.00000000000000000000000028032638527164284713387490125647938710670047729737344463469374,0.0000000000000000000005042020447092085861140678039845381849511095838093396273338646,UP,transferrin receptor
10563,ENSMUSG00000051855,Mest,-1.709307487, 3.6558727,105.095516095463,0.00000000000000000000000116388000675576756869793645924613664804221447079253976055422083,0.0000000000000000000018607854908009712300719461030069727276394150904749659914284160,DOWN,mesoderm specific transcript
8582,ENSMUSG00000039384,Dusp10, 1.531187191, 4.7024987, 94.944770819065,0.00000000000000000000019577171503360286841124214886004313050459457172053086695744875817,0.0000000000000000002816959207618512070698374761748772296988563027650198438908701881,UP,dual specificity phosphatase 10
4053,ENSMUSG00000026043,Col3a1, 1.387791668, 6.9150797, 77.763055327353,0.00000000000000000116172876578892927373480435198727080646253389980800466152466299263324,0.0000000000000015196468373579002461904317712144302457828005199422238824524811207084,UP,collagen, type III, alpha 1
6797,ENSMUSG00000032578,Cish, 2.493804906, 4.0922480, 66.424566125621,0.00000000000000036354301477654714778602362108373699510992967652046881088523377911769785,0.0000000000004359183699683113716987266483447173461810049410747325282500241883099079,UP,cytokine inducible SH2-containing protein
8910,ENSMUSG00000040640,Erc2,-2.758241561, 1.1617407, 65.908090130323,0.00000000000000047244841740209822443049725436695527834015062530401141138725051860092208,0.0000000000005229277136922147166403632556849015872993055586981370197463547810912132,DOWN,ELKS/RAB6-interacting/CAST family member 2
10164,ENSMUSG00000048546,Tob2,-1.114234457, 6.3352332, 64.302777995265,0.00000000000000106695197128709219257058631592751017237149851676902834185511892428621650,0.0000000000010965979939178549043132568180820355361639040214782880866550840437412262,DOWN,transducer of ERBB2, 2
13240,ENSMUSG00000091712,Sec14l5, 0.934463107, 5.1364640, 61.376193927222,0.00000000000000471476856118809094010965600415219302469122019186298366832943429471924901,0.0000000000045227203217956963029241585240843243412300900274658488342538475990295410,UP,SEC14-like lipid binding 5
12105,ENSMUSG00000070498,Tmem132b,-2.114170282, 2.3788292, 56.878526650097,0.00000000000004635802720502924007327278639945890607258066618001635106338653713464736938,0.0000000000416903533408228566900358177820288489018318855983125104103237390518188477,DOWN,transmembrane protein 132B
10468,ENSMUSG00000051067,Lingo3, 1.165512892, 3.9105409, 55.961795975553,0.00000000000007389304896305846552701081907730278248731120571690667020448017865419387817,0.0000000000625439459723204828866054693378793288838224384562636259943246841430664062,UP,leucine rich repeat and Ig domain containing 3
