,Ensembl,Symbol,s06mo_C_M-s28mo_C_M_logFC,s06mo_C_M-s28mo_C_M_logCPM,s06mo_C_M-s28mo_C_M_LR,s06mo_C_M-s28mo_C_M_PValue,s06mo_C_M-s28mo_C_M_FDR,s06mo_C_M-s28mo_C_M_Status,Description
4015,ENSMUSG00000026043,Col3a1, 2.9953783302, 5.90483554,179.60456756649671,0.000000000000000000000000000000000000000059123,0.00000000000000000000000000000000000083985,UP,collagen, type III, alpha 1
1762,ENSMUSG00000020108,Ddit4,-2.8687097356, 6.25312222,155.97743370963653,0.000000000000000000000000000000000008562463450,0.00000000000000000000000000000006081489665,DOWN,DNA-damage-inducible transcript 4
5583,ENSMUSG00000029661,Col1a2, 2.9067883643, 6.74998921,139.89691658606978,0.000000000000000000000000000000028038563566820,0.00000000000000000000000000009957194886667,UP,collagen, type I, alpha 2
10896,ENSMUSG00000056501,Cebpb,-1.6076673829, 6.04545656,139.93395477265770,0.000000000000000000000000000000027520500731845,0.00000000000000000000000000009957194886667,DOWN,CCAAT/enhancer binding protein (C/EBP), beta
140,ENSMUSG00000001119,Col6a1, 2.0634147002, 5.18106717,139.43130062222647,0.000000000000000000000000000000035446789033252,0.00000000000000000000000000010070432764347,UP,collagen, type VI, alpha 1
1355,ENSMUSG00000017344,Vtn, 1.5766509589, 3.73805710,137.42780943682399,0.000000000000000000000000000000097213921083266,0.00000000000000000000000000023015395816463,UP,vitronectin
198,ENSMUSG00000001506,Col1a1, 2.8601695413, 5.72907309,136.51374302920993,0.000000000000000000000000000000154043776569541,0.00000000000000000000000000031259883516719,UP,collagen, type I, alpha 1
6335,ENSMUSG00000031740,Mmp2, 1.6140306373, 5.19912430,133.98270049960752,0.000000000000000000000000000000551136144332968,0.00000000000000000000000000097861111628123,UP,matrix metallopeptidase 2
4451,ENSMUSG00000027107,Chrna1,-1.4781929682, 4.51302914,131.34022148560089,0.000000000000000000000000000002086068316525184,0.00000000000000000000000000329251115958225,DOWN,cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)
12029,ENSMUSG00000071637,Cebpd,-2.0243593171, 5.59926778,128.02462261697340,0.000000000000000000000000000011085908360319254,0.00000000000000000000000001574753282583350,DOWN,CCAAT/enhancer binding protein (C/EBP), delta
