,Ensembl,Symbol,s28mo_C_M-s22mo_C_M_logFC,s28mo_C_M-s22mo_C_M_logCPM,s28mo_C_M-s22mo_C_M_LR,s28mo_C_M-s22mo_C_M_PValue,s28mo_C_M-s22mo_C_M_FDR,s28mo_C_M-s22mo_C_M_Status,Description
9153,ENSMUSG00000042045,Sln,3.965525966,3.9271344875,118.315283195024,0.0000000000000000000000000014791,0.000000000000000000000021038,UP,sarcolipin
197,ENSMUSG00000001506,Col1a1,-2.020281020,5.0313837682,111.438591805665,0.0000000000000000000000000474271,0.000000000000000000000337301,DOWN,"collagen, type I, alpha 1"
7662,ENSMUSG00000036390,Gadd45a,2.346973412,5.5624482063,108.705808507417,0.0000000000000000000000001882522,0.000000000000000000000892567,UP,growth arrest and DNA-damage-inducible 45 alpha
4462,ENSMUSG00000027107,Chrna1,1.297281739,4.5717451940,102.855040949933,0.0000000000000000000000036059071,0.000000000000000000012082428,UP,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)"
6426,ENSMUSG00000031880,Rrad,2.293801271,3.7421037430,102.530767814533,0.0000000000000000000000042471979,0.000000000000000000012082428,UP,Ras-related associated with diabetes
5596,ENSMUSG00000029661,Col1a2,-1.902487493,5.9164173674,99.965793066753,0.0000000000000000000000155052012,0.000000000000000000036757664,DOWN,"collagen, type I, alpha 2"
3068,ENSMUSG00000023043,Krt18,3.389300654,4.2378455551,93.325094378737,0.0000000000000000000004437302654,0.000000000000000000806179132,UP,keratin 18
12104,ENSMUSG00000071984,Fndc1,-1.152970461,4.6501105955,93.282343314464,0.0000000000000000000004534190846,0.000000000000000000806179132,DOWN,fibronectin type III domain containing 1
10162,ENSMUSG00000049382,Krt8,4.169133587,2.6636657247,92.550686079688,0.0000000000000000000006562239548,0.000000000000000001037125504,UP,keratin 8
4028,ENSMUSG00000026043,Col3a1,-2.317284765,5.3290697715,92.094420852037,0.0000000000000000000008263801851,0.000000000000000001175443175,DOWN,"collagen, type III, alpha 1"
8168,ENSMUSG00000038259,Gdf5,3.710484600,1.1695787525,85.250580924520,0.0000000000000000000262851237195,0.000000000000000033989054526,UP,growth differentiation factor 5
659,ENSMUSG00000005397,Nid1,-1.344488971,5.6150655357,84.229699248508,0.0000000000000000000440503461756,0.000000000000000052214343667,DOWN,nidogen 1
10004,ENSMUSG00000048126,Col6a3,-1.378948611,4.6621585496,81.703939261663,0.0000000000000000001580781010151,0.000000000000000172961762218,DOWN,"collagen, type VI, alpha 3"
6570,ENSMUSG00000032231,Anxa2,-1.156755851,4.8365989447,74.581598952155,0.0000000000000000058182996633288,0.000000000000005911392457942,DOWN,annexin A2
4027,ENSMUSG00000026042,Col5a2,-1.582110366,3.6995069025,73.334383008210,0.0000000000000000109444685169003,0.000000000000010378274678959,DOWN,"collagen, type V, alpha 2"
89,ENSMUSG00000000753,Serpinf1,-1.316277151,4.6073589196,70.867310428098,0.0000000000000000382076531920071,0.000000000000033966603687694,DOWN,"serine (or cysteine) peptidase inhibitor, clade F, member 1"
3216,ENSMUSG00000024042,Sik1,1.226549965,4.6264740826,67.905376439089,0.0000000000000001715328102245268,0.000000000000143522511331392,UP,salt inducible kinase 1
4723,ENSMUSG00000027712,Anxa5,-1.061012344,4.5109764879,66.668764815400,0.0000000000000003211842318419536,0.000000000000253806917428886,DOWN,annexin A5
5762,ENSMUSG00000030208,Emp1,-1.154974706,5.0550112437,65.371193949245,0.0000000000000006203912648510031,0.000000000000464444492170561,DOWN,epithelial membrane protein 1
4381,ENSMUSG00000026879,Gsn,-1.320691638,9.4158128342,64.770045111992,0.0000000000000008416900645143212,0.000000000000598609973882585,DOWN,gelsolin
1065,ENSMUSG00000012428,Steap4,-1.130474283,4.4663641211,64.140199431452,0.0000000000000011587297323810688,0.000000000000784846272066111,DOWN,STEAP family member 4
6355,ENSMUSG00000031740,Mmp2,-1.085957533,4.8292636700,63.419392699614,0.0000000000000016706517201726498,0.000000000001080152275806171,DOWN,matrix metallopeptidase 2
12107,ENSMUSG00000072235,Tuba1a,-1.351109053,4.9035530415,63.041969368261,0.0000000000000020234870261471617,0.000000000001251394759126836,DOWN,"tubulin, alpha 1A"
5632,ENSMUSG00000029761,Cald1,-1.045774624,4.6065799221,62.795697096933,0.0000000000000022929924304821141,0.000000000001358980180465733,DOWN,caldesmon 1
2787,ENSMUSG00000022425,Enpp2,-0.958408856,4.2082887885,62.117494141131,0.0000000000000032356416201341698,0.000000000001840950656191537,DOWN,ectonucleotide pyrophosphatase/phosphodiesterase 2
3281,ENSMUSG00000024164,C3,-1.355211144,5.9180940509,61.937281265072,0.0000000000000035457259340769823,0.000000000001939784834088884,DOWN,complement component 3
1313,ENSMUSG00000016494,Cd34,-0.882223009,5.0369354267,61.768310229017,0.0000000000000038634222336619163,0.000000000002035308068578041,DOWN,CD34 antigen
4977,ENSMUSG00000028339,Col15a1,-1.717116294,3.8401480405,61.174208130351,0.0000000000000052241444754713922,0.000000000002653865393539467,DOWN,"collagen, type XV, alpha 1"
3005,ENSMUSG00000022894,Adamts5,-0.974776772,4.0566849562,59.405920236832,0.0000000000000128282576855370608,0.000000000006292039217899281,DOWN,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggre"
139,ENSMUSG00000001119,Col6a1,-1.603674764,4.8310041904,58.473227526568,0.0000000000000206076212706558723,0.000000000009770760165126970,DOWN,"collagen, type VI, alpha 1"
6241,ENSMUSG00000031502,Col4a1,-1.284421713,6.4161164540,58.167865748548,0.0000000000000240678494683671614,0.000000000011043260994775951,DOWN,"collagen, type IV, alpha 1"
10933,ENSMUSG00000056481,Cd248,-1.285703674,3.3483456611,57.513190476399,0.0000000000000335720296938052771,0.000000000014922767198896447,DOWN,"CD248 antigen, endosialin"
4499,ENSMUSG00000027204,Fbn1,-1.472088791,4.9012983132,57.396670305569,0.0000000000000356209804762744284,0.000000000015353722008925072,DOWN,fibrillin 1
4361,ENSMUSG00000026837,Col5a1,-1.369932885,4.0495082019,56.733686687247,0.0000000000000499013437827754921,0.000000000020876373940182312,DOWN,"collagen, type V, alpha 1"
5737,ENSMUSG00000030110,Ret,-1.711452917,2.1261240185,56.319601406743,0.0000000000000615982777422859627,0.000000000025033540074465013,DOWN,ret proto-oncogene
9477,ENSMUSG00000044017,Adgrd1,-1.382669281,2.6040709890,56.154890438048,0.0000000000000669807894143738649,0.000000000026464854128612606,DOWN,adhesion G protein-coupled receptor D1
5444,ENSMUSG00000029338,Antxr2,-1.139519604,3.3471983665,55.745770345082,0.0000000000000824755328695036838,0.000000000031706269717184336,DOWN,anthrax toxin receptor 2
1830,ENSMUSG00000020241,Col6a2,-1.669832585,4.8640107310,55.285474433831,0.0000000000001042360316073320526,0.000000000039017192462702397,DOWN,"collagen, type VI, alpha 2"
3107,ENSMUSG00000023224,Serping1,-1.026822415,5.4060719777,55.000752045016,0.0000000000001204837162638959549,0.000000000043942573849683490,DOWN,"serine (or cysteine) peptidase inhibitor, clade G, member 1"
3024,ENSMUSG00000022952,Runx1,1.959198781,2.3038709760,54.659621676821,0.0000000000001433209146977658618,0.000000000050964917266525541,UP,runt related transcription factor 1
8480,ENSMUSG00000039252,Lgi2,-1.665247059,1.7699277298,53.770764930225,0.0000000000002253003799646673532,0.000000000078162746454083628,DOWN,"leucine-rich repeat LGI family, member 2"
3478,ENSMUSG00000024659,Anxa1,-1.262881928,3.7719149725,53.335709375994,0.0000000000002811490702043831794,0.000000000095215818442551113,DOWN,annexin A1
