,Ensembl,Symbol,s22mo_AR_F-s22mo_C_F_logFC,s22mo_AR_F-s22mo_C_F_logCPM,s22mo_AR_F-s22mo_C_F_LR,s22mo_AR_F-s22mo_C_F_PValue,s22mo_AR_F-s22mo_C_F_FDR,s22mo_AR_F-s22mo_C_F_Status,Description
1786,ENSMUSG00000020108,Ddit4,2.252263294,5.4370331,152.300332828651,0.000000000000000000000000000000000054474,0.00000000000000000000000000000078475,UP,DNA-damage-inducible transcript 4
2397,ENSMUSG00000021453,Gadd45g,1.725345219,4.9640645,141.460102108556,0.000000000000000000000000000000012762465,0.00000000000000000000000000009192804,UP,growth arrest and DNA-damage-inducible 45 gamma
1720,ENSMUSG00000019970,Sgk1,1.151006961,6.7451421,56.779693590525,0.000000000000048747423546031978133077698,0.00000000023408512786804555875522539,UP,serum/glucocorticoid regulated kinase 1
3722,ENSMUSG00000025153,Fasn,2.641616851,6.0318279,55.627245738852,0.000000000000087601052591317677123808678,0.00000000031549519090763062045966242,UP,fatty acid synthase
13407,ENSMUSG00000096768,Gm47283,1.238627850,3.9274957,53.272963516856,0.000000000000290274278211542842494526537,0.00000000083633825038309721251129121,UP,"predicted gene, 47283"
7584,ENSMUSG00000035686,Thrsp,1.474859962,3.2291182,52.431780836159,0.000000000000445456484955713598877902405,0.00000000106954102037866839977735447,UP,thyroid hormone responsive
11042,ENSMUSG00000056313,Tcim,1.011140830,3.4472694,49.687166302586,0.000000000001803215953698625976367664493,0.00000000371101843271177237003237220,UP,transcriptional and immune response regulator
6958,ENSMUSG00000033083,Tbc1d4,-0.741442149,5.8473062,42.642619140019,0.000000000065711913249085496404102151978,0.00000011833072778329070531677912883,DOWN,"TBC1 domain family, member 4"
398,ENSMUSG00000002910,Arrdc2,1.435232172,6.5958758,41.326870154092,0.000000000128786351284754078195787074774,0.00000020614401962312969953073857072,UP,arrestin domain containing 2
10166,ENSMUSG00000048489,Depp1,1.410449072,3.5749036,36.163379453592,0.000000001814484245703759798305490437854,0.00000261394600436083612886523433461,UP,DEPP1 autophagy regulator
12286,ENSMUSG00000072949,Acot1,-1.425665772,3.5012605,35.311904105219,0.000000002809098188527622387322553703781,0.00000367889713672081173164883291515,DOWN,acyl-CoA thioesterase 1
2171,ENSMUSG00000020889,Nr1d1,-1.313515137,6.2156355,34.278906579047,0.000000004775295358777371893201688074883,0.00000573274207821223483991538924509,DOWN,"nuclear receptor subfamily 1, group D, member 1"
