,Ensembl,Symbol,s28mo_C_M-s06mo_C_M_logFC,s28mo_C_M-s06mo_C_M_logCPM,s28mo_C_M-s06mo_C_M_LR,s28mo_C_M-s06mo_C_M_PValue,s28mo_C_M-s06mo_C_M_FDR,s28mo_C_M-s06mo_C_M_Status,Description
4015,ENSMUSG00000026043,Col3a1,-2.9953783302,5.90483554,179.6045675664967,0,0,DOWN,"collagen, type III, alpha 1"
1762,ENSMUSG00000020108,Ddit4,2.8687097356,6.25312222,155.97743370963653,0,0,UP,DNA-damage-inducible transcript 4
5583,ENSMUSG00000029661,Col1a2,-2.9067883643,6.74998921,139.89691658606978,0,0,DOWN,"collagen, type I, alpha 2"
10896,ENSMUSG00000056501,Cebpb,1.6076673829,6.04545656,139.9339547726577,0,0,UP,"CCAAT/enhancer binding protein (C/EBP), beta"
140,ENSMUSG00000001119,Col6a1,-2.0634147002,5.18106717,139.43130062222647,0,0,DOWN,"collagen, type VI, alpha 1"
1355,ENSMUSG00000017344,Vtn,-1.5766509589,3.7380571,137.427809436824,0,0,DOWN,vitronectin
198,ENSMUSG00000001506,Col1a1,-2.8601695413,5.72907309,136.51374302920993,0,0,DOWN,"collagen, type I, alpha 1"
6335,ENSMUSG00000031740,Mmp2,-1.6140306373,5.1991243,133.98270049960752,0,0,DOWN,matrix metallopeptidase 2
4451,ENSMUSG00000027107,Chrna1,1.4781929682,4.51302914,131.3402214856009,0,0,UP,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)"
12029,ENSMUSG00000071637,Cebpd,2.0243593171,5.59926778,128.0246226169734,0,0,UP,"CCAAT/enhancer binding protein (C/EBP), delta"
1696,ENSMUSG00000019970,Sgk1,1.4455339636,7.12399503,121.45539142551095,0,0,UP,serum/glucocorticoid regulated kinase 1
12689,ENSMUSG00000084939,Gm830,3.1055383579,1.72910314,119.6894920667794,0,0,UP,predicted gene 830
9120,ENSMUSG00000042045,Sln,4.4538863695,3.89434044,118.98061876454398,0,0,UP,sarcolipin
1826,ENSMUSG00000020241,Col6a2,-1.8987374001,5.0335526,118.7116917306864,0,0,DOWN,"collagen, type VI, alpha 2"
