,Ensembl,Symbol,s28mo_AR_F-s28mo_C_F_logFC,s28mo_AR_F-s28mo_C_F_logCPM,s28mo_AR_F-s28mo_C_F_LR,s28mo_AR_F-s28mo_C_F_PValue,s28mo_AR_F-s28mo_C_F_FDR,s28mo_AR_F-s28mo_C_F_Status,Description
9263,ENSMUSG00000042045,Sln,-1.04770088242,4.39252200,32.75622594348282490,0.000000010447,0.00015066,DOWN,sarcolipin
3867,ENSMUSG00000025479,Cyp2e1,-2.06878022258,5.23253340,24.17732812286861588,0.000000878605,0.00633518,DOWN,"cytochrome P450, family 2, subfamily e, polypeptide 1"
9084,ENSMUSG00000041220,Elovl6,-4.06709747259,4.34118824,22.90142199170053772,0.000001705257,0.00819717,DOWN,"ELOVL family member 6, elongation of long chain fatty acids (yeast)"
8367,ENSMUSG00000038550,Ciart,1.70033107269,1.67093758,21.73426030413269672,0.000003131485,0.01128979,UP,circadian associated repressor of transcription
10161,ENSMUSG00000048371,Pdp2,-1.50751740990,3.38139613,19.06009262170788787,0.000012666610,0.03653304,DOWN,pyruvate dehyrogenase phosphatase catalytic subunit 2
7592,ENSMUSG00000035686,Thrsp,-2.53185064148,4.74626210,18.58784212784963330,0.000016225204,0.03899728,DOWN,thyroid hormone responsive
10519,ENSMUSG00000051279,Gdf6,-2.09023965645,-0.49990378,17.68931547362551981,0.000026008340,0.04939050,DOWN,growth differentiation factor 6
13117,ENSMUSG00000087413,Gm11266,1.23223324204,1.55987888,17.59023188316778175,0.000027399211,0.04939050,UP,predicted gene 11266
3726,ENSMUSG00000025153,Fasn,-2.87364687675,7.74097041,16.15648717405844081,0.000058318490,0.09344566,NA,fatty acid synthase
12492,ENSMUSG00000074794,Arrdc3,-0.95069542297,6.63980112,15.19590030120056667,0.000096913593,0.13975909,NA,arrestin domain containing 3
484,ENSMUSG00000003528,Slc25a1,-2.40166393337,4.07764454,14.89643260647441814,0.000113577564,0.14890019,NA,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1"
8118,ENSMUSG00000037818,Abhd18,-1.14838163164,4.15590796,13.84655515404507753,0.000198360038,0.22004232,NA,abhydrolase domain containing 18
14419,ENSMUSG00000119584,Rn18s-rs5,-1.67224337752,11.09075444,13.98548985097318109,0.000184226902,0.22004232,NA,"18s RNA, related sequence 5"
10116,ENSMUSG00000048040,Arxes2,-1.17402913486,2.40028738,13.33556225601392420,0.000260419906,0.26825110,NA,adipocyte-related X-chromosome expressed sequence 2
1621,ENSMUSG00000019577,Pdk4,-0.71347390070,11.06846256,12.76954117754894469,0.000352309243,0.33871011,NA,"pyruvate dehydrogenase kinase, isoenzyme 4"
2182,ENSMUSG00000020908,Myh3,-0.91302768660,3.42809327,11.83939176304690832,0.000579907649,0.34058535,NA,"myosin, heavy polypeptide 3, skeletal muscle, embryonic"
2364,ENSMUSG00000021356,Irf4,-2.58678614256,2.20038085,12.23662732108484974,0.000468604561,0.34058535,NA,interferon regulatory factor 4
3297,ENSMUSG00000024134,Six2,0.68332143961,3.69054959,12.08811179849445239,0.000507443381,0.34058535,NA,sine oculis-related homeobox 2
6119,ENSMUSG00000030935,Acsm3,-1.83085836963,1.45349245,12.29898467571650222,0.000453204768,0.34058535,NA,acyl-CoA synthetase medium-chain family member 3
6314,ENSMUSG00000031489,Adrb3,-1.10201588914,1.08340254,12.25428217818307708,0.000464191684,0.34058535,NA,"adrenergic receptor, beta 3"
8248,ENSMUSG00000038216,Pnmt,1.42632693949,0.46410180,11.91262109506085842,0.000557548938,0.34058535,NA,phenylethanolamine-N-methyltransferase
9746,ENSMUSG00000045114,Prrt2,-1.71470719496,-0.37085429,11.80590051950766650,0.000590432962,0.34058535,NA,proline-rich transmembrane protein 2
10553,ENSMUSG00000051495,Irf2bp2,-0.49163271047,4.82465618,11.89070944769615146,0.000564146296,0.34058535,NA,interferon regulatory factor 2 binding protein 2
11893,ENSMUSG00000066595,Flvcr1,-0.71608900483,4.41551676,12.12904803189988989,0.000496424548,0.34058535,NA,feline leukemia virus subgroup C cellular receptor 1
11933,ENSMUSG00000067235,H2-Q10,-1.44163773274,2.12619111,12.36053450406207510,0.000438505131,0.34058535,NA,"histocompatibility 2, Q region locus 10"
316,ENSMUSG00000002289,Angptl4,-0.88583120542,4.52485590,11.14809101083298160,0.000841181919,0.38470651,NA,angiopoietin-like 4
916,ENSMUSG00000008348,Ubc,-0.65488421049,8.01991346,11.19617100881013982,0.000819662941,0.38470651,NA,ubiquitin C
2398,ENSMUSG00000021453,Gadd45g,-0.99684277354,5.93386253,11.12078077457525183,0.000853658439,0.38470651,NA,growth arrest and DNA-damage-inducible 45 gamma
6948,ENSMUSG00000033022,Cdo1,-1.16819935084,4.21197447,11.25932856861162890,0.000792238622,0.38470651,NA,"cysteine dioxygenase 1, cytosolic"
8560,ENSMUSG00000039196,Orm1,-1.57720397213,1.64490036,11.13106136814360525,0.000848940006,0.38470651,NA,orosomucoid 1
8678,ENSMUSG00000039661,Dusp26,0.59637810513,5.07755509,11.14616178323334061,0.000842057194,0.38470651,NA,dual specificity phosphatase 26 (putative)
12019,ENSMUSG00000068614,Actc1,-0.95163459360,6.18768881,11.38438894904918186,0.000740639126,0.38470651,NA,"actin, alpha, cardiac muscle 1"
193,ENSMUSG00000001467,Cyp51,-0.63035218501,2.72554375,10.36854534856096066,0.001281805047,0.50633120,NA,"cytochrome P450, family 51"
2609,ENSMUSG00000021957,Tkt,-1.42703406382,5.40558069,10.22225372022134593,0.001387561943,0.50633120,NA,transketolase
3805,ENSMUSG00000025316,Banp,-0.70759774916,3.12937926,10.22841090654016227,0.001382937588,0.50633120,NA,BTG3 associated nuclear protein
5187,ENSMUSG00000028654,Mycl,-2.16867568811,0.26330249,10.21161258531366656,0.001395590907,0.50633120,NA,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived
8122,ENSMUSG00000037826,Ppm1k,-0.65081943330,3.51905292,10.24073019082645075,0.001373731973,0.50633120,NA,protein phosphatase 1K (PP2C domain containing)
11510,ENSMUSG00000061046,Haghl,0.61462251316,3.21795950,10.24282961792438584,0.001372169369,0.50633120,NA,hydroxyacylglutathione hydrolase-like
11577,ENSMUSG00000061780,Cfd,-0.91657541495,6.82669819,10.48820690623851704,0.001201389086,0.50633120,NA,complement factor D (adipsin)
14327,ENSMUSG00000117050,1700023B13Rik,-1.55585687198,-0.39980262,10.19997257632924459,0.001404427423,0.50633120,NA,RIKEN cDNA 1700023B13 gene
1396,ENSMUSG00000017639,Rab11fip4,1.48315079461,-0.36117415,10.12210225294035304,0.001465018044,0.51105904,NA,RAB11 family interacting protein 4 (class II)
5915,ENSMUSG00000030433,Sbk2,0.52826524186,5.30930982,10.09289823692649790,0.001488418252,0.51105904,NA,"SH3-binding domain kinase family, member 2"
44,ENSMUSG00000000340,Dbt,-0.48692955137,4.83214890,9.70712495947358711,0.001835549530,0.53705554,NA,dihydrolipoamide branched chain transacylase E2
2250,ENSMUSG00000021069,Pygl,-1.59907267612,3.10128834,9.90871832313718315,0.001644976370,0.53705554,NA,liver glycogen phosphorylase
4700,ENSMUSG00000027533,Fabp5,-1.15637563077,2.78132427,9.81620447402417540,0.001729809530,0.53705554,NA,"fatty acid binding protein 5, epidermal"
5051,ENSMUSG00000028378,Ptgr1,-1.34584206380,0.27998683,9.86765387123431381,0.001682098669,0.53705554,NA,prostaglandin reductase 1
7921,ENSMUSG00000037071,Scd1,-1.45667834030,9.43964326,9.95104634025685186,0.001607580007,0.53705554,NA,stearoyl-Coenzyme A desaturase 1
9979,ENSMUSG00000046997,Spsb4,-1.31493539999,0.07059647,9.75337775962415243,0.001789935252,0.53705554,NA,splA/ryanodine receptor domain and SOCS box containing 4
12453,ENSMUSG00000074505,Fat3,-1.51685024014,1.15874320,9.68077502788364797,0.001862060680,0.53705554,NA,FAT atypical cadherin 3
12896,ENSMUSG00000084929,Foxo6os,-1.41890230912,1.80123421,9.72896102982002731,0.001813869914,0.53705554,NA,"forkhead box O6, opposite strand"
6381,ENSMUSG00000031626,Sorbs2,0.59225711652,6.63428445,9.54828909377857826,0.002001358766,0.55503067,NA,sorbin and SH3 domain containing 2
10131,ENSMUSG00000048142,Nat8l,-1.10337348709,1.82965165,9.57934700081131574,0.001967783820,0.55503067,NA,N-acetyltransferase 8-like
1493,ENSMUSG00000018500,Adora2b,-1.50460085817,-0.43234184,9.46818076310312762,0.002090666057,0.56699573,NA,adenosine A2b receptor
2792,ENSMUSG00000022371,Col14a1,-0.75323544948,3.37732876,9.41918074115485027,0.002147274342,0.56699573,NA,"collagen, type XIV, alpha 1"
3035,ENSMUSG00000022893,Adamts1,0.51838314462,5.41190450,9.34587199947465308,0.002234882902,0.56699573,NA,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"
6812,ENSMUSG00000032554,Trf,-0.64070938777,6.01120762,9.32958079054766642,0.002254839329,0.56699573,NA,transferrin
13621,ENSMUSG00000098188,Sowahc,-1.36610411230,1.73792628,9.37226270613451362,0.002202934210,0.56699573,NA,sosondowah ankyrin repeat domain family member C
14035,ENSMUSG00000109008,Gm44899,1.56884903207,-0.85647564,9.30892116269833281,0.002280407215,0.56699573,NA,predicted gene 44899
926,ENSMUSG00000008540,Mgst1,-0.83393448004,4.21961118,9.11005264812470550,0.002542085560,0.62134603,NA,microsomal glutathione S-transferase 1
3544,ENSMUSG00000024747,Aldh1a7,-1.36880530643,0.98994015,9.04290644535743837,0.002637160476,0.62345068,NA,"aldehyde dehydrogenase family 1, subfamily A7"
9773,ENSMUSG00000045294,Insig1,-0.95162503334,3.79622820,9.06836388734836873,0.002600696597,0.62345068,NA,insulin induced gene 1
284,ENSMUSG00000002055,Spag5,0.75969952035,2.29965482,8.86878137857616089,0.002900887248,0.65365148,NA,sperm associated antigen 5
1993,ENSMUSG00000020532,Acaca,-1.02510360257,5.56582291,8.88481280503185644,0.002875525245,0.65365148,NA,acetyl-Coenzyme A carboxylase alpha
10910,ENSMUSG00000054752,Fsd1l,-0.65917873149,3.27186045,8.91297128882179912,0.002831521865,0.65365148,NA,fibronectin type III and SPRY domain containing 1-like
2291,ENSMUSG00000021182,Ccdc88c,0.44551484374,5.36212360,8.71715268857678538,0.003152299763,0.65883065,NA,coiled-coil domain containing 88C
4209,ENSMUSG00000026380,Tfcp2l1,0.66542406963,3.26561045,8.71850823656888529,0.003149956787,0.65883065,NA,transcription factor CP2-like 1
8721,ENSMUSG00000039824,Myl6b,-0.68740739654,3.35266786,8.81056909831957924,0.002994906074,0.65883065,NA,"myosin, light polypeptide 6B"
9628,ENSMUSG00000044258,Ctla2a,-0.81552191693,2.52806982,8.78343160994490191,0.003039788081,0.65883065,NA,cytotoxic T lymphocyte-associated protein 2 alpha
10943,ENSMUSG00000055116,Arntl,-0.58847555279,4.17855235,8.74659435858320577,0.003101807886,0.65883065,NA,aryl hydrocarbon receptor nuclear translocator-like
4135,ENSMUSG00000026185,Igfbp5,-0.93181146389,7.49789869,8.63617506546943758,0.003295526061,0.67854265,NA,insulin-like growth factor binding protein 5
9768,ENSMUSG00000045268,Zfp691,-0.50626370983,3.46239928,8.61136394587887999,0.003340720359,0.67854265,NA,zinc finger protein 691
13179,ENSMUSG00000089872,Rps6kc1,0.54212357041,5.02477593,8.47764238543010862,0.003595377557,0.72012416,NA,ribosomal protein S6 kinase polypeptide 1
8354,ENSMUSG00000038527,C1rl,-1.24034123997,-0.36894492,8.35417765893591202,0.003848015774,0.75423273,NA,"complement component 1, r subcomponent-like"
13838,ENSMUSG00000104435,Gm37422,0.47263414962,5.38571775,8.34369804750264521,0.003870274046,0.75423273,NA,"predicted gene, 37422"
12226,ENSMUSG00000071637,Cebpd,-1.15291788715,5.94683184,8.31288473668300298,0.003936482049,0.75690677,NA,"CCAAT/enhancer binding protein (C/EBP), delta"
1574,ENSMUSG00000019102,Aldh3a1,-1.07928188536,1.10894674,8.28552795172514678,0.003996228406,0.75828434,NA,"aldehyde dehydrogenase family 3, subfamily A1"
1179,ENSMUSG00000014846,Tppp3,-0.62585277453,5.09784387,8.22427787571847801,0.004133364935,0.76160085,NA,tubulin polymerization-promoting protein family member 3
3664,ENSMUSG00000024990,Rbp4,-0.62648721051,2.62481857,8.16622768086823925,0.004267757637,0.76160085,NA,"retinol binding protein 4, plasma"
7087,ENSMUSG00000033610,Pank1,-0.54250042211,5.20016003,8.20116587042392098,0.004186348033,0.76160085,NA,pantothenate kinase 1
8903,ENSMUSG00000040485,Lrrc52,-0.98392166136,3.12381791,8.19531518173010198,0.004199869743,0.76160085,NA,leucine rich repeat containing 52
12272,ENSMUSG00000072594,Gm16439,-1.40219239265,-0.64144911,8.16197918558251700,0.004277766357,0.76160085,NA,predicted pseudogene 16439
4833,ENSMUSG00000027861,Casq2,-0.65048071332,4.99673222,8.11592161705074489,0.004387816000,0.76236981,NA,calsequestrin 2
12517,ENSMUSG00000074971,Fibin,-0.71114728381,3.53028674,8.13615837055522206,0.004339111772,0.76236981,NA,fin bud initiation factor homolog (zebrafish)
6086,ENSMUSG00000030844,Rgs10,-1.05854831299,0.58420695,8.09310469553994061,0.004443397981,0.76283622,NA,regulator of G-protein signalling 10
4250,ENSMUSG00000026471,Mr1,0.58417200687,4.53387904,7.98371905867378828,0.004719987924,0.76336239,NA,"major histocompatibility complex, class I-related"
6715,ENSMUSG00000032359,Ctsh,-0.55454304187,2.76643224,7.98035999018532038,0.004728753777,0.76336239,NA,cathepsin H
8390,ENSMUSG00000038623,Tm6sf1,-0.81541102097,3.29529749,8.03841124544624996,0.004579568538,0.76336239,NA,transmembrane 6 superfamily member 1
9345,ENSMUSG00000042401,Crtac1,1.33767699211,0.02145537,7.96689180912962325,0.004764067320,0.76336239,NA,cartilage acidic protein 1
12487,ENSMUSG00000074771,Ankef1,-0.91552757764,1.33877535,8.04468806644601209,0.004563727638,0.76336239,NA,ankyrin repeat and EF-hand domain containing 1
14335,ENSMUSG00000117263,Gm35290,-1.28114364476,-0.33720803,7.98791260058049968,0.004709067648,0.76336239,NA,"predicted gene, 35290"
2185,ENSMUSG00000020917,Acly,-1.29438517588,4.86701182,7.81596328236824256,0.005178673738,0.76991396,NA,ATP citrate lyase
2380,ENSMUSG00000021388,Aspn,-0.54269734591,3.43973452,7.88727281637225452,0.004978387611,0.76991396,NA,asporin
4023,ENSMUSG00000025934,Gsta3,-1.26373039035,0.57093587,7.83330480655717221,0.005129223385,0.76991396,NA,"glutathione S-transferase, alpha 3"
5424,ENSMUSG00000029135,Fosl2,-0.59630211017,4.36229237,7.83604129765622304,0.005121464200,0.76991396,NA,fos-like antigen 2
7303,ENSMUSG00000034472,Rasd2,0.69028460041,6.59858093,7.81682640659134620,0.005176201037,0.76991396,NA,"RASD family, member 2"
8316,ENSMUSG00000038415,Foxq1,-1.68150720115,-0.26822239,7.88603872139236195,0.004981785793,0.76991396,NA,forkhead box Q1
12750,ENSMUSG00000079470,Utp14b,-1.07464897926,0.27081335,7.85665734146713302,0.005063391640,0.76991396,NA,UTP14B small subunit processome component
5848,ENSMUSG00000030256,Bhlhe41,0.57385649057,5.33120592,7.79238812630273081,0.005246680043,0.77206503,NA,"basic helix-loop-helix family, member e41"
