,Ensembl,Symbol,s06mo_AR_M-s06mo_C_M_logFC,s06mo_AR_M-s06mo_C_M_logCPM,s06mo_AR_M-s06mo_C_M_LR,s06mo_AR_M-s06mo_C_M_PValue,s06mo_AR_M-s06mo_C_M_FDR,s06mo_AR_M-s06mo_C_M_Status,Description
12722,ENSMUSG00000083012,Fam220a,-5.235562288,2.68734188,345.7824139165697,0.000000000000000000000000000000000000000000000000000000000000000000000000000035123,0.00000000000000000000000000000000000000000000000000000000000000000000000050233,DOWN,"family with sequence similarity 220, member A"
8804,ENSMUSG00000040435,Ppp1r15a,-1.725805339,5.44944375,118.8635955278561,0.000000000000000000000000001121847761449645061161187851323266727715156551824613986,0.00000000000000000000000802233334212641115382130673559245901891905076312146586,DOWN,"protein phosphatase 1, regulatory subunit 15A"
9366,ENSMUSG00000042834,Nrep,1.558083489,5.86486213,116.9856838864860,0.000000000000000000000000002891472198395028626003695047471214099754925218330043503,0.00000000000000000000001378461179381523342048434842842974544882633396204916951,UP,neuronal regeneration related protein
2958,ENSMUSG00000022797,Tfrc,1.831702128,6.61973358,108.1368147525272,0.000000000000000000000000250850528481517500208211742278389282269561753906163438518,0.00000000000000000000089691606458566582796376833478580963015855827917320370710,UP,transferrin receptor
6757,ENSMUSG00000032578,Cish,3.565053954,3.96540675,105.9545558605103,0.000000000000000000000000754456817838301008023812657248173459668359263005204202020,0.00000000000000000000215804828174467627667277385733285867358531634513766025340,UP,cytokine inducible SH2-containing protein
2288,ENSMUSG00000021226,Acot2,-2.224784758,5.91298845,97.1901415255483,0.000000000000000000000062979451147426902017373430392691430131834415892479701015017,0.00000000000000000015012201838508324593117752692785063521918807263396967435418,DOWN,acyl-CoA thioesterase 2
11040,ENSMUSG00000057137,Tmem140,-1.434680630,5.99106264,93.5210398223700,0.000000000000000000000401905417603917901094651317549583147313730141328338439381978,0.00000000000000000082115018322446196985886558012842899327769143627770223603513,DOWN,transmembrane protein 140
13908,ENSMUSG00000108815,Gm49388,-6.020952235,0.98868997,85.6696430469142,0.000000000000000000021265255838070105611444351118820279288560045048338075336993858,0.00000000000000003801696112450982956449489214984351848654317560286496069377193,DOWN,"predicted gene, 49388"
3309,ENSMUSG00000024222,Fkbp5,-2.350873173,6.68983310,81.2384921612106,0.000000000000000000200057159011957662239481737925314174470246316654863300878164356,0.00000000000000031791305424322425193667717871023406110995095747925875961925613,DOWN,FK506 binding protein 5
11296,ENSMUSG00000059824,Dbp,1.488632661,6.88714369,74.3315359720373,0.000000000000000006604006201495253379531175205723643206029492469570857729466162311,0.00000000000000944504966937851168677797161910334608664102564595799194080427696,UP,D site albumin promoter binding protein
