,Ensembl,Symbol,s28mo_C_F-s22mo_C_F_logFC,s28mo_C_F-s22mo_C_F_logCPM,s28mo_C_F-s22mo_C_F_LR,s28mo_C_F-s22mo_C_F_PValue,s28mo_C_F-s22mo_C_F_FDR,s28mo_C_F-s22mo_C_F_Status,Description
9272,ENSMUSG00000042045,Sln,2.886448165,4.0118855,194.0481369628156,0.000000000000000000000000000000000000000000041568,0.00000000000000000000000000000000000000060211,UP,sarcolipin
2396,ENSMUSG00000021453,Gadd45g,2.481955377,5.5910771,110.9941666123312,0.000000000000000000000000059345066435786735022862,0.00000000000000000000042980664366118541094286,UP,growth arrest and DNA-damage-inducible 45 gamma
1785,ENSMUSG00000020108,Ddit4,2.637789867,5.7775498,90.1061188928133,0.000000000000000000002257225410165321899377715435,0.00000000000000001089863668874822795918447932,UP,DNA-damage-inducible transcript 4
11504,ENSMUSG00000060716,Plekhh1,1.829208649,3.1810031,64.9429189945304,0.000000000000000770993863453386451271669571648708,0.00000000000279196152803057551935506581961391,UP,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1"
3247,ENSMUSG00000024042,Sik1,1.243690838,4.7527113,59.4476943273556,0.000000000000012558814752609324072030579433071804,0.00000000003638288633830921264446615556392511,UP,salt inducible kinase 1
10201,ENSMUSG00000048489,Depp1,3.529299901,5.3626004,54.6778662911479,0.000000000000141996543140617774286081676192539223,0.00000000034280332123197473052286199110083673,UP,DEPP1 autophagy regulator
12511,ENSMUSG00000074794,Arrdc3,1.782314284,6.4117442,45.6782801073393,0.000000000013935948684838491707707583520326263945,0.00000002883745952855507675226633731296876917,UP,arrestin domain containing 3
1574,ENSMUSG00000019102,Aldh3a1,3.042992971,0.7352454,43.7015388251704,0.000000000038247092680811699779473466927453683545,0.00000006925114218519468946113536384281972325,UP,"aldehyde dehydrogenase family 3, subfamily A1"
13465,ENSMUSG00000096768,Gm47283,1.477860502,4.1153782,38.8799096356486,0.000000000450695212788172487794291342098939104344,0.00000072536890635963085814999756067988911923,UP,"predicted gene, 47283"
12039,ENSMUSG00000068614,Actc1,1.622360690,5.9967919,36.1877418734623,0.000000001791941723513100920343219309312492865116,0.00000259562758650872681101995538555105014211,UP,"actin, alpha, cardiac muscle 1"
6511,ENSMUSG00000031880,Rrad,1.428340277,4.1086128,35.3377236197297,0.000000002772103828129648136762015178582302388222,0.00000365035672276890447990457463922631120568,UP,Ras-related associated with diabetes
4933,ENSMUSG00000028082,Sh3d19,1.130704024,3.8145865,34.6581039930079,0.000000003929991114384870131359997323270902280790,0.00000474382677432207002334637463425437431397,UP,SH3 domain protein D19
1719,ENSMUSG00000019970,Sgk1,1.025063540,6.6743035,34.3119938936464,0.000000004694795301326227063177172650751053928353,0.00000503785848974222718471300402898194192858,UP,serum/glucocorticoid regulated kinase 1
11082,ENSMUSG00000056313,Tcim,1.181759725,3.5788925,34.2410178327349,0.000000004869176310417064707284158411437074986949,0.00000503785848974222718471300402898194192858,UP,transcriptional and immune response regulator
10136,ENSMUSG00000048040,Arxes2,2.048682237,2.1904139,33.2104205806224,0.000000008270612658634749670532821730958156214442,0.00000798665495735495687920114937785598385744,UP,adipocyte-related X-chromosome expressed sequence 2
7757,ENSMUSG00000036390,Gadd45a,1.639239899,6.0064738,32.5387519029334,0.000000011683939764520328889771356517882083814186,0.00001057761671806730950976243449401792418030,UP,growth arrest and DNA-damage-inducible 45 alpha
1731,ENSMUSG00000019997,Ccn2,1.404283405,4.6269247,32.3251447257439,0.000000013041474668227406918931796282485474636204,0.00001066864664504257137163985985628400499081,UP,cellular communication network factor 2
3727,ENSMUSG00000025153,Fasn,4.375228659,7.6319321,32.2932141890482,0.000000013257551923421905014903911387228602203336,0.00001066864664504257137163985985628400499081,UP,fatty acid synthase
11794,ENSMUSG00000063821,Dusp29,1.269513642,4.4913484,32.0532804860547,0.000000015000158400083289992249635362055182330465,0.00001143564707501086576103225406209062953167,UP,dual specificity phosphatase 29
12245,ENSMUSG00000071637,Cebpd,2.439611008,5.6627036,31.9227503414312,0.000000016042716020418492437148150469433671716502,0.00001161893707778809340237617664381986060107,UP,"CCAAT/enhancer binding protein (C/EBP), delta"
7597,ENSMUSG00000035686,Thrsp,3.202086580,4.6710666,27.9783604294373,0.000000122679696658248354682328772405353056740296,0.00008398519688853443702393486436363900793367,UP,thyroid hormone responsive
10882,ENSMUSG00000054364,Rhob,0.864496183,5.6064638,27.9029101641313,0.000000127557772284967747630784898685285533304068,0.00008398519688853443702393486436363900793367,UP,ras homolog family member B
9094,ENSMUSG00000041220,Elovl6,4.850370127,4.3125505,27.4825158185616,0.000000158521127060789706321206429286141403878219,0.00009983384893371907578898949431334131077165,UP,"ELOVL family member 6, elongation of long chain fatty acids (yeast)"
